category,count,percent,rank_desc
C–C,123,26.5086,1
Other / Multiple,84,18.1034,2
C–N,70,15.0862,3
C–O,62,13.3621,4
C–S,22,4.7414,5
C–H,20,4.3103,6
N–N,13,2.8017,7
C=C,11,2.3707,8
C=O,8,1.7241,9
C–Br,5,1.0776,10
N–H,4,0.8621,11
C–F,4,0.8621,12
Cd–Se,2,0.431,13
Fe-O,2,0.431,14
Fe3+-O-Co2+,1,0.2155,15
N–N and C–N,1,0.2155,16
Zr-O,1,0.2155,17
ionic bond,1,0.2155,18
S–O,1,0.2155,19
N–O,1,0.2155,20
Oxygen reduction,1,0.2155,21
Mo-C,1,0.2155,22
Cu–BTC coordination bond,1,0.2155,23
Metal-halide bonds in perovskite structure,1,0.2155,24
C–D,1,0.2155,25
C–O and C–S,1,0.2155,26
S=O,1,0.2155,27
C–Li,1,0.2155,28
Indium-Phosphorus bond in InP nanocrystals,1,0.2155,29
In–P,1,0.2155,30
C–C and C–N,1,0.2155,31
H-H,1,0.2155,32
Metal-ligand coordination bonds,1,0.2155,33
Al-C,1,0.2155,34
Zn-O,1,0.2155,35
Au-Au,1,0.2155,36
C–P,1,0.2155,37
Cd-Se,1,0.2155,38
C–Cl,1,0.2155,39
C–B,1,0.2155,40
H–H,1,0.2155,41
C–CHF18F,1,0.2155,42
C≡O,1,0.2155,43
C=N,1,0.2155,44
O-O,1,0.2155,45
C–Se,1,0.2155,46
C–N and C–O,1,0.2155,47
Ti-O,1,0.2155,48
