category_key,category_label,severity,count,category_total
reactor_design,Reactor Design,hard_rule,98,403
reactor_design,Reactor Design,guideline,295,403
reactor_design,Reactor Design,tip,10,403
reactor_design,Reactor Design,safety,0,403
general,General,hard_rule,100,347
general,General,guideline,240,347
general,General,tip,7,347
general,General,safety,0,347
heat_transfer,Heat Transfer,hard_rule,48,227
heat_transfer,Heat Transfer,guideline,175,227
heat_transfer,Heat Transfer,tip,4,227
heat_transfer,Heat Transfer,safety,0,227
catalyst,Catalyst,hard_rule,33,226
catalyst,Catalyst,guideline,190,226
catalyst,Catalyst,tip,3,226
catalyst,Catalyst,safety,0,226
residence_time,Residence Time,hard_rule,50,204
residence_time,Residence Time,guideline,152,204
residence_time,Residence Time,tip,2,204
residence_time,Residence Time,safety,0,204
photochemistry,Photochemistry,hard_rule,21,175
photochemistry,Photochemistry,guideline,152,175
photochemistry,Photochemistry,tip,2,175
photochemistry,Photochemistry,safety,0,175
materials,Materials,hard_rule,62,165
materials,Materials,guideline,97,165
materials,Materials,tip,6,165
materials,Materials,safety,0,165
scale_up,Scale-Up,hard_rule,31,157
scale_up,Scale-Up,guideline,121,157
scale_up,Scale-Up,tip,5,157
scale_up,Scale-Up,safety,0,157
pressure,Pressure,hard_rule,57,134
pressure,Pressure,guideline,76,134
pressure,Pressure,tip,0,134
pressure,Pressure,safety,1,134
mixing,Mixing,hard_rule,48,133
mixing,Mixing,guideline,84,133
mixing,Mixing,tip,1,133
mixing,Mixing,safety,0,133
safety,Safety,hard_rule,93,122
safety,Safety,guideline,29,122
safety,Safety,tip,0,122
safety,Safety,safety,0,122
solvent,Solvent,hard_rule,26,72
solvent,Solvent,guideline,44,72
solvent,Solvent,tip,2,72
solvent,Solvent,safety,0,72
mass_transfer,Mass Transfer,hard_rule,18,59
mass_transfer,Mass Transfer,guideline,39,59
mass_transfer,Mass Transfer,tip,2,59
mass_transfer,Mass Transfer,safety,0,59
temperature,Temperature,hard_rule,17,38
temperature,Temperature,guideline,21,38
temperature,Temperature,tip,0,38
temperature,Temperature,safety,0,38
electrochemistry,Electrochemistry,hard_rule,6,33
electrochemistry,Electrochemistry,guideline,27,33
electrochemistry,Electrochemistry,tip,0,33
electrochemistry,Electrochemistry,safety,0,33
nucleophilic_reactions,Nucleophilic Reactions,hard_rule,6,11
nucleophilic_reactions,Nucleophilic Reactions,guideline,5,11
nucleophilic_reactions,Nucleophilic Reactions,tip,0,11
nucleophilic_reactions,Nucleophilic Reactions,safety,0,11
biocatalysis,Biocatalysis,hard_rule,0,7
biocatalysis,Biocatalysis,guideline,7,7
biocatalysis,Biocatalysis,tip,0,7
biocatalysis,Biocatalysis,safety,0,7
coupling_reactions,Coupling Reactions,hard_rule,0,5
coupling_reactions,Coupling Reactions,guideline,5,5
coupling_reactions,Coupling Reactions,tip,0,5
coupling_reactions,Coupling Reactions,safety,0,5
reaction_conditions,Reaction Conditions,hard_rule,2,5
reaction_conditions,Reaction Conditions,guideline,3,5
reaction_conditions,Reaction Conditions,tip,0,5
reaction_conditions,Reaction Conditions,safety,0,5
concentration,Concentration,hard_rule,0,3
concentration,Concentration,guideline,3,3
concentration,Concentration,tip,0,3
concentration,Concentration,safety,0,3
carbene_transfer,Carbene Transfer,hard_rule,0,2
carbene_transfer,Carbene Transfer,guideline,1,2
carbene_transfer,Carbene Transfer,tip,1,2
carbene_transfer,Carbene Transfer,safety,0,2
multi_step_synthesis,Multi Step Synthesis,hard_rule,0,2
multi_step_synthesis,Multi Step Synthesis,guideline,2,2
multi_step_synthesis,Multi Step Synthesis,tip,0,2
multi_step_synthesis,Multi Step Synthesis,safety,0,2
fluid_delivery,Fluid Delivery,hard_rule,0,1
fluid_delivery,Fluid Delivery,guideline,1,1
fluid_delivery,Fluid Delivery,tip,0,1
fluid_delivery,Fluid Delivery,safety,0,1
equipment,Equipment,hard_rule,0,1
equipment,Equipment,guideline,1,1
equipment,Equipment,tip,0,1
equipment,Equipment,safety,0,1
longevity,Longevity,hard_rule,0,1
longevity,Longevity,guideline,0,1
longevity,Longevity,tip,1,1
longevity,Longevity,safety,0,1
flow_pattern,Flow Pattern,hard_rule,0,1
flow_pattern,Flow Pattern,guideline,0,1
flow_pattern,Flow Pattern,tip,1,1
flow_pattern,Flow Pattern,safety,0,1
phase_transfer_catalysis,Phase Transfer Catalysis,hard_rule,0,1
phase_transfer_catalysis,Phase Transfer Catalysis,guideline,1,1
phase_transfer_catalysis,Phase Transfer Catalysis,tip,0,1
phase_transfer_catalysis,Phase Transfer Catalysis,safety,0,1
temperature_control,Temperature Control,hard_rule,0,1
temperature_control,Temperature Control,guideline,1,1
temperature_control,Temperature Control,tip,0,1
temperature_control,Temperature Control,safety,0,1
flash_chemistry,Flash Chemistry,hard_rule,1,1
flash_chemistry,Flash Chemistry,guideline,0,1
flash_chemistry,Flash Chemistry,tip,0,1
flash_chemistry,Flash Chemistry,safety,0,1
