method,rank,query_id,query_photocatalyst_family,query_wavelength_nm,result_id,result_photocatalyst,result_photocatalyst_family,result_wavelength_nm,result_class,match_level,field_score
semantic_only,1,photochemflow (6).pdf,Iridium,465.0,photochemflow (40).pdf,Iridium catalyst i,,450.0,Photoredox coupling,partial,0.17
semantic_only,2,photochemflow (6).pdf,Iridium,465.0,photochemflow (126).pdf,[Ru(bpy)3Cl2]·6H2O,Ruthenium,,Cross-coupling,none,0.29
semantic_only,3,photochemflow (6).pdf,Iridium,465.0,photochemflow (124).pdf,,,,Photochemical pinacol coupling,none,0.0
semantic_only,4,photochemflow (6).pdf,Iridium,465.0,photochemflow (118).pdf,Ir(dF(CF3)ppy)2(dtbbpy)PF6,Iridium,,Photoredox catalysis,partial,0.3
semantic_only,5,photochemflow (6).pdf,Iridium,465.0,photochemflow (70).pdf,Ir[dF(CF3)ppy]2(dtbpy)PF6,,,Decarboxylative functionalization,none,0.0
flowpilot,1,photochemflow (6).pdf,Iridium,465.0,photochemflow (130).pdf,fac-Ir(ppy)3,Iridium,450.0,Photocatalytic radical difunctionalization,full,0.47
flowpilot,2,photochemflow (6).pdf,Iridium,465.0,photochemflow (92).pdf,Ir(dFCF3ppy)2(bpy)PF6,Iridium,450.0,Csp2-Csp3 Cross-Coupling,full,0.47
flowpilot,3,photochemflow (6).pdf,Iridium,465.0,photochemflow (10).pdf,fac-[Ir(ppy)3],Iridium,425.0,photoredox catalysis,full,0.42
flowpilot,4,photochemflow (6).pdf,Iridium,465.0,acscentsci.1c00303.pdf,Ir(ppy)3,Iridium,427.0,Cross-coupling,full,0.424
flowpilot,5,photochemflow (6).pdf,Iridium,465.0,photochemflow (123).pdf,Ir(ppy)3,Iridium,470.0,Photoredox difluoromethylation,full,0.49
