file_name,figure,panel,description
fig1a_reaction_classes.csv,Fig1A,A,Reaction class counts and percentages
fig1b_reactor_types.csv,Fig1B,B,Reactor type counts and percentages
fig1c_reactor_materials.csv,Fig1C,C,Reactor material counts and donut/bar percentages
fig1d_bond_types.csv,Fig1D,D,Bond-type counts and percentages
fig1e_light_sources.csv,Fig1E,E,Photochemical light-source breakdown and photochem-vs-dark corpus split
fig1f_inlet_streams.csv,Fig1F,F,Counts per number of inlet streams
fig1g_flow_yields_raw.csv,Fig1G,G,Raw flow-yield values
fig1g_batch_yields_raw.csv,Fig1G,G,Raw batch-yield values
fig1g_yield_histograms.csv,Fig1G,G,Histogram bin counts for flow and batch yield overlays
fig1g_yield_summary.csv,Fig1G,G,Summary statistics used for mean/median lines
fig1h_knowledge_graph_nodes.csv,Fig1H,H,Knowledge-graph nodes with frequencies and deterministic layout positions
fig1h_knowledge_graph_edges.csv,Fig1H,H,Knowledge-graph edge co-occurrence weights
fig2a_rule_landscape.csv,Fig2A,A,Stacked-bar counts by rule category and severity
fig2b_formula_coverage.csv,Fig2B,B,Per-category quantitative-formula coverage
fig2c_coverage_heatmap_long.csv,Fig2C,C,Long-format heatmap counts by category and chemistry class
fig2c_coverage_heatmap_matrix.csv,Fig2C,C,Wide-format heatmap matrix with row totals
fig2d_concept_network_nodes.csv,Fig2D,D,Concept-network nodes with frequencies and deterministic layout positions
fig2d_concept_network_edges.csv,Fig2D,D,Concept-network edge co-occurrence weights
fig3a_architecture_boxes.csv,Fig3A,A,Conceptual architecture layout box coordinates and dimensions
fig3a_architecture_constants.csv,Fig3A,A,Architecture numeric constants shown in the diagram
fig3b_query_richness_examples.csv,Fig3B,B,Example-level query term counts and richness multipliers
fig3c_retrieval_pairs_raw.csv,Fig3C,C,Raw retrieval-pair scores and rank changes
fig3c_component_summary.csv,Fig3C,C,Field-component means and nonzero rates
fig3c_summary_metrics.csv,Fig3C,C,Top-line summary metrics for the reranking comparison
fig3d_family_match_rates.csv,Fig3D,D,Photocatalyst-family match rates by family
fig3d_demo_retrieval_table.csv,Fig3D,D,Concrete top-5 retrieval example for semantic-only vs FlowPilot
